Permethrin,Scabies
Diastat Pediatric,Unable To Restrain Bowel Movement
Revatio,Chronic Cutaneous Ulcer
Tobramycin Sulfate,Tracheostomy
Minoxidil,End Stage Renal Disease
Glycopyrrolate,Urinary Loss Of Control
Ampyra,Multiple Sclerosis
Actonel,Osteopenia
Simvastatin,Essential Hypertension
Atripla,Acquired Immunodeficiency Syndrome (AIDS)
Bicillin L-A,Acute Streptococcal Tonsillitis
Metoprolol Succinate,Hypertension
Azithromycin,Acute Upper Respiratory Infection
LamoTRIgine,Partial Complex Psychomotor Seizure With Intractable Seizure
Desmopressin Acetate,Enuresis
Procrit,Chronic Renal Failure
Hydrochlorothiazide,Tobacco Use
Furadantin,Vesicoureteral Reflux
Furosemide,Hyperlipidemia
Intuniv,"ADHD, Combined Type"
Januvia,Diabetes Mellitus Poorly Controlled
NovoLOG FlexPen,Diabetic Retinopathy
Isosorbide Mononitrate CR,Congestive Heart Failure
Diastat Pediatric,Gastrostomy Care
Tysabri,Multiple Sclerosis
PC Pediatric Electrolyte,Child With Special Needs
Byetta 5 MCG Pen,Type II Diabetes Mellitus
Omeprazole,Esophageal Reflux
Tev-Tropin,Short Stature (On Exam)
Ambien,Insomnia
Pilocarpine HCl,Sicca Syndrome
Byetta 10 MCG Pen,Obesity
Lactulose,Chronic Constipation
Penicillin V,Sickle Cell Hb-SS Disease
MetFORMIN HCl,Essential Hypertension
Byetta 10 MCG Pen,Morbid Obesity
Lancets 30G,Visit For: Fit/Adjust Insulin Pump
Byetta 5 MCG Pen,Reported Previous High Blood Pressure
Lansoprazole,Esophageal Reflux
Zemplar,"Chronic Kidney Disease, Stage 4"
Lancets 30G,Diabetes Mellitus Poorly Controlled
Nephron FA,Iron Deficiency
Simvastatin,Benign Essential Hypertension
Calmoseptine,Esophagogastric Fundoplasty Nissen Fundoplication
Topiramate,Migraine Headache
Daytrana,"ADHD, Combined Type"
Calmoseptine,Dependence On Supplemental Oxygen
Hectorol,Chronic Renal Failure
Pulmozyme,Tracheostomy
Letairis,Pulmonary Hypertension
GlipiZIDE,Diabetes Mellitus Poorly Controlled
Toviaz,Routine UA Without Microscopic Examination
Estring,Vaginal Mucosa Atrophy
Azithromycin,Allergic Rhinitis
Sutent,Kidney Cancer
Sodium Polystyrene Sulfonate,"Chronic Kidney Disease, Stage 4"
Lisinopril,Diabetes Mellitus
Mucomyst-10,Tracheostomy
Calmoseptine,Tracheitis
Imitrex,Migraine Headache
Albuterol Sulfate,Asthma
Lancets Super Thin,Microalbuminuria
Entocort EC,Crohn's Disease
One Touch Ultra Test Strips,Type II Diabetes Mellitus
Prezista,Acquired Immunodeficiency Syndrome (AIDS)
Nutropin AQ Pen,Short Stature
Isometheptene-APAP-Dichloral,Headache
Mesalamine,Ulcerative Colitis
Nystatin,Acute Upper Respiratory Infection
Zocor,Hyperlipidemia
Azithromycin,Alcohol
Colcrys,Gout
Guaifenesin AC,Acute Bronchitis
Metoprolol Succinate,Benign Essential Hypertension
Rebif,No Recent Change In Medical History
Plaquenil,Sjogren's Syndrome
Vytorin,Hyperlipidemia
Vitamin B-6,Latent Tuberculosis
PediaSure/Fiber,Unable To Restrain Bowel Movement
Azithromycin,Drug Use
Prograf,Renal Transplant
Anucort-HC,Anal Fissure
OneTouch Ultra Test,Type II Diabetes Mellitus
Reyataz,Acquired Immunodeficiency Syndrome (AIDS)
Phenytoin Sodium Extended,Seizure Disorder
Sildenafil Citrate,Esophagogastric Fundoplasty Nissen Fundoplication
Insulin Syringe,Diabetic Retinopathy
Nasal Saline,Common Cold
Toprol XL,Hyperlipidemia
Ranitidine HCl,Esophageal Reflux
ProAir HFA,Asthma
PHENobarbital,Convulsions
MethylPREDNISolone Sodium Succ,Multiple Sclerosis
Citric Acid-Sodium Citrate,Anemia Of End-stage Renal Disease
Lipitor,Benign Essential Hypertension
Aspirin,Tobacco Use
Golytely,Hemorrhoids
Aspirin,Alcohol
Aranesp (Albumin Free),Anemia Of Chronic Kidney Disease
Byetta 10 MCG Pen,Taking Medication For Diabetes Long-term Use Of Insulin
Sildenafil Citrate,Bronchopulmonary Dysplasia Of Fetus Or Newborn
Mirapex ER,Parkinson's Disease
Tobramycin Sulfate,Conjunctivitis
Humira Pen,Ankylosing Spondylitis
Blood Pressure Monitor/L Cuff,Diabetes Mellitus Poorly Controlled
Citalopram Hydrobromide,Depression
Niaspan,Hyperlipidemia
Tobramycin,Chronic Ethmoidal Sinusitis
Levemir FlexPen,Diabetic Retinopathy
Provigil,Multiple Sclerosis
MetroNIDAZOLE,Routine Pelvic Exam With Cervical Pap Smear
Docusate Sodium,Constipation
Loratadine,Oncologic Disorder
Asacol,Crohn's Disease
Flovent HFA,Cystic Fibrosis
Golytely,Preventive Medicine Estab Patient Checkup Adult 40-64
Folbee,Homocysteinemia
Revatio,Raynaud's Disease
PediaSure/Fiber,Child With Special Needs
Pulmozyme,Dependence On Supplemental Oxygen
MetFORMIN HCl,Hypertension
Avodart,Benign Prostatic Hypertrophy
Metolazone,Congestive Heart Failure
CycloSPORINE Modified,Nephrotic Syndrome Due To Focal Segmental Sclerosing Glomerulonephritis
Diastat Pediatric,Child With Special Needs
Hydrocodone-Acetaminophen,Drug Use
Ergocalciferol TABS,Osteoporosis
Diastat Pediatric,Gastric Surgery Feeding Gastrostomy
Finasteride,Benign Prostatic Hypertrophy
Hydrocortisone Acetate,Hemorrhoids
Lisinopril,Tobacco Use
GlycoLax,Encopresis
Dilantin,Seizure Disorder
Betamethasone,Chronic Maxillary Sinusitis
Citric Acid-Sodium Citrate,"Chronic Kidney Disease, Stage 4"
Cipro HC,Acute Otitis Externa
Phosphate Enema,Physical Disability: Wheelchair Dependence
Saline Nasal Spray,Miliaria
Aspirin,Drug Use
Diastat AcuDial,Delayed Developmental Milestones
One Touch Ultra Test Strips,Diabetic Retinopathy
"Pen Needles 5/16""",Diabetic Retinopathy
HumaLOG Pen,Type I Diabetes Mellitus - Uncontrolled
Metoprolol Tartrate,Hyperlipidemia
Glucovance,"Type II Diabetes Mellitus - Uncomplicated, Uncontrolled"
Remicade,Crohn's Disease
Comtan,Parkinson's Disease With Dementia
Lisinopril,Alcohol
Toviaz,Urinalysis Source Of Specimen: Clean Catch Midstream
Phosphate Enema,Wearing Diapers
Ramipril,Type I Diabetes Mellitus - Uncontrolled
Metoprolol Succinate,Essential Hypertension
Exjade,Sickle Cell Anemia
Levemir FlexPen,Obesity
PC Pediatric Electrolyte,Dependence On Supplemental Oxygen
Veramyst,Asthma
Arginine,Disorder Of Mitochondrial Metabolism
HumaLOG,Diabetic Retinopathy
Furosemide,Coronary Artery Disease
Anucort-HC,Hemorrhoids
Zidovudine,HIV Infection
HydrALAZINE HCl,Congestive Heart Failure
Hydrochlorothiazide,Alcohol
Diastat Pediatric,Quadriplegic Cerebral Palsy With Spasticity
GlyBURIDE,Diabetes Mellitus Poorly Controlled
None - No Current Medications,Acute Upper Respiratory Infection
Norditropin NordiFlex Pen,Short Stature (On Exam)
Diastat AcuDial,Unable To Restrain Bowel Movement
CefTAZidime,Chronic Frontal Sinusitis
Follistim AQ,Female Infertility
Lisinopril,Drug Use
Tobi,Child With Special Needs
Nephron FA,"Chronic Kidney Disease, Stage 3"
Hydrocodone-Acetaminophen,Tobacco Use
Polymyxin B-Trimethoprim,Acute Conjunctivitis
Colistimethate Sodium,Chronic Sphenoidal Sinusitis
Hydroxychloroquine Sulfate,Rheumatoid Arthritis
Renvela,Renal Secondary Hyperparathyroidism
Humatrope,Hypopituitarism
Warfarin Sodium,Congestive Heart Failure
Sotalol HCl,Atrial Fibrillation
SUMAtriptan Succinate,Migraine Headache
Levemir FlexPen,Type II Diabetes Mellitus
Simvastatin,Coronary Artery Disease
Viracept,HIV Infection
NovoLOG FlexPen,Reported Previous High Blood Pressure
Loratadine,Atopic Dermatitis
Lantus,Type II Diabetes Mellitus
Influenza (Split PF),Unspecified Debility
"Pen Needles 5/16""",Type II Diabetes Mellitus
NovoLOG Mix 70/30 FlexPen,Taking Medication For Diabetes Long-term Use Of Insulin
Zyrtec,Allergic Rhinitis
Polymyxin B-Trimethoprim,Acute Bacterial Conjunctivitis
Cheratussin AC,Acute Bronchitis
OB Complete 400,Bacterial Vaginosis
Sodium Bicarbonate,Chronic Renal Failure
Rituxan,Rheumatoid Arthritis
Fosamax,Osteopenia
Levemir,Diabetic Retinopathy
Saline Nasal Spray,Oncologic Disorder
Tobramycin,Chronic Frontal Sinusitis
Bicitra,Metabolic Acidosis
Saline Nasal Spray,Tuberculosis
Hydrocortisone,Sickle Cell Abnormality
Aspirin,Diabetes Mellitus
Focalin XR,Attention-deficit Hyperactivity Disorder
PrednisoLONE,Reactive Airway Disease
Amoxicillin,Upper Respiratory Infection
Sodium Polystyrene Sulfonate,Anemia Of Chronic Kidney Disease
FluPHENAZine HCl,Paranoid Schizophrenia
Sildenafil Citrate,Gastrostomy Care
CycloSPORINE Modified,Renal Transplant
Clindamycin Phosphate,Acne
Loratadine,Sickle Cell Abnormality
Tobi,Physical Disability: Wheelchair Dependence
Emtriva,HIV Infection
NovoLOG Mix 70/30,Taking Medication For Diabetes Long-term Use Of Insulin
ValACYclovir HCl,Herpes Zoster (Shingles)
Galantamine Hydrobromide,Vascular Dementia
PediaSure,Housing DME For Tube Feeding
Guaifenesin-Codeine,Acute Bronchitis
Epogen,Renal Osteodystrophy
Proctofoam HC,External Hemorrhoids
Zyflo CR,Chronic Frontal Sinusitis
Carvedilol,Coronary Artery Disease
Methotrexate (Anti-Rheumatic),Rheumatoid Arthritis
Glimepiride,Diabetes Mellitus Poorly Controlled
Citric Acid-Sodium Citrate,Anemia Of Chronic Kidney Disease
Hydrochlorothiazide,Drug Use
HumaLOG Mix 75/25,Diabetes Mellitus Poorly Controlled
Tobi,Percutaneous Placement Of Gastrostomy Tube
Tobi,Wearing Diapers
Toprol XL,Essential Hypertension
HumaLOG,Taking Medication For Diabetes Long-term Use Of Insulin
FreeStyle Lite Test,Type I Diabetes Mellitus - Uncontrolled
Multaq,Atrial Fibrillation
GlycoLax,Constipation
Hydrocortisone Ace-Pramoxine,Anal Fissure
No Reported Medications,Never Smoked
Cortisporin-TC,Otitis Externa
Lipitor,Tobacco Use
Fluticasone Propionate,Occupation:
Nystatin,Elective Circumcision
Ortho Micronor,Gynecologic Services Contraceptive Management
Citracal Prenatal + DHA,Planning To Become Pregnant
"Pen Needles 1/2""",Obesity
NexIUM,Hyperlipidemia
Plavix,Hypertension
Sildenafil Citrate,Gastric Surgery Feeding Gastrostomy
Pulmozyme,Cystic Fibrosis
Loratadine,Eczema
Nitroglycerin,Taking Medication For A Long Time
Topamax,Migraine Headache
Childrens Loratadine,Housing DME Oxygen Tank
Calmoseptine,Tracheostomy
Veramyst,Secondhand Tobacco Smoke In Home
Cetirizine HCl,Asthma
Zithromax Z-Pak,Acute Bronchitis
NovoFine 30,Diabetes Mellitus Poorly Controlled
Humira,Psoriatic Arthropathy
Golytely,Prediabetes
Albustix,social history unchanged
Nitroglycerin,Coronary Artery Disease
Norvasc,Benign Essential Hypertension
Cymbalta,Depression
Midodrine HCl,Orthostatic Hypotension
Numoisyn,Scleroderma
Lisinopril-Hydrochlorothiazide,Essential Hypertension
SEROquel XR,Bipolar Disorder NOS
Pulmozyme,Child With Special Needs
Levemir FlexPen,Morbid Obesity
SUMAtriptan Succinate,Common Migraine (Without Aura)
Saline Nasal Spray,Malignant Neoplasm Of The Large Intestine
BuPROPion HCl,Depression
Glucagon Emergency,Diabetic Retinopathy
None - No Current Medications,Diabetes Mellitus
Simvastatin,Type II Diabetes Mellitus
Hydrocortisone,Asthma
Byetta 5 MCG Pen,Obesity
Calmoseptine,Gastrostomy Complication
Aricept,Normal Routine History And Physical Geriatric (80 +)
GlipiZIDE,Type II Diabetes Mellitus
Glycopyrrolate,Tracheostomy
Lancets 30G,Type I Diabetes Mellitus - Uncontrolled
Hydrochlorothiazide,Obesity
Relpax,Migraine Headache
Levemir FlexPen,Type I Diabetes Mellitus - Uncontrolled
NovoLOG FlexPen,Obesity
NovoFine 30,Taking Medication For Diabetes Long-term Use Of Insulin
Glycopyrrolate,Dysphagia
Glycopyrrolate,Difficulty Swallowing (Dysphagia)
Accu-Chek Multiclix Lancets,Diabetes Mellitus Poorly Controlled
Insulin Syringe,Reported Previous High Blood Pressure
FreeStyle Lancets,Diabetes Mellitus Poorly Controlled
Zyflo CR,Chronic Ethmoidal Sinusitis
Colistimethate Sodium,Recently Moved
Corvite 150,Bacterial Vaginosis
Nystatin,Preterm Infant
HumaLOG,Diabetes Mellitus Poorly Controlled
BD U/F Original Pen Needle,Taking Medication For Diabetes Long-term Use Of Insulin
Ibuprofen,Tobacco Use
Veramyst,Living With Parents
Atenolol,Essential Hypertension
Actos,Hyperlipidemia
HumaLOG KwikPen,Diabetic Retinopathy
Hydrocortisone,Acute Upper Respiratory Infection
Renvela,Anemia Of Chronic Kidney Disease
Propafenone HCl,Paroxysmal Atrial Fibrillation
Calmoseptine,Percutaneous Placement Of Gastrostomy Tube
TraZODone HCl,Depression
Diastat AcuDial,Child With Special Needs
TRENtal,Chronic Nondecubitus Ulcer Of The Ankle
Mercaptopurine,Ulcerative Colitis
Xopenex HFA,Eczema
Stalevo 50,Parkinson's Disease
Betaseron,No Recent Change In Medical History
Oxygen,Chronic Obstructive Pulmonary Disease
Atenolol,Coronary Artery Disease
Aurodex,Earache
B-D Test Strips,Type I Diabetes Mellitus - Uncontrolled
Phosphate Enema,Quadriplegic Cerebral Palsy With Spasticity
Furosemide,Hypertension
Norditropin,Growth Hormone Deficiency (Pituitary Dwarfism)
Pulmozyme,Hypoxia
Donepezil HCl,Alzheimer's Disease
Trileptal,Seizure Disorder
BD Pen Needle Ultrafine,Taking Medication For Diabetes Long-term Use Of Insulin
Glumetza,Diabetes Mellitus Poorly Controlled
Nascobal,Pernicious Anemia
Adapalene,Acne
No Reported Medications,Child Enrolled In Day-care
Multivitamin,Housing DME For Tube Feeding
Kayexalate,Nephrosclerosis With Benign Hypertension
Saline,Miliaria
Pulmozyme,Physical Disability: Wheelchair Dependence
Naproxen,Backache
MetFORMIN HCl,Benign Essential Hypertension
NovoLOG FlexPen,Type II Diabetes Mellitus
Flovent HFA,Preterm Infant
Isosorbide Mononitrate CR,Taking Medication For A Long Time
Metoprolol Tartrate,Coronary Artery Disease
Sotalol HCl,Cardiac Defibrillator
Xopenex HFA,Acute Upper Respiratory Infection
PediaSure/Fiber,Wearing Diapers
Furosemide,Essential Hypertension
Sulfamethoxazole-TMP DS,Urinary Tract Infection
Pentasa,Crohn's (Granulomatous) Colitis
Orencia,Rheumatoid Arthritis
OXcarbazepine,Seizure Disorder
FreeStyle Lite Test,Reported Previous High Blood Pressure
Xopenex HFA,Preterm Infant
Amiodarone HCl,Congestive Heart Failure
Ciprofloxacin HCl,Tobacco Use
Niaspan,Coronary Artery Disease
Flonase,Allergic Rhinitis
Metoprolol Tartrate,Hypertension
Mucomyst-10,Gastrostomy Care
Pulmozyme,Wearing Diapers
FreeStyle Lite Test,Type II Diabetes Mellitus
Exelon,Dementia
Phosphate Enema,Chronic Constipation
Accu-Chek Aviva,Diabetes Mellitus Poorly Controlled
Lipitor,Alcohol
PhosLo,End Stage Renal Disease
Risperdal Consta,Paranoid Schizophrenia
Propafenone HCl,Atrial Fibrillation
Chantix,Nicotine Dependence
Lasix,Atrial Fibrillation
Lialda,Ulcerative Colitis
SulfaSALAzine,Rheumatoid Arthritis
Toprol XL,Coronary Artery Disease
Nystatin,Upper Respiratory Infection
Diastat Pediatric,Delayed Developmental Milestones
Cefadroxil,Deviated Nasal Septum (Acquired)
Atenolol,Benign Essential Hypertension
Nystatin,Eczema
NPH Insulin,Diabetes Mellitus Poorly Controlled
Ramipril,Diabetes Mellitus Poorly Controlled
Forteo,Osteoporosis
Diastat AcuDial,Seizure Disorder
OneTouch Ultra Test,Obesity
Floxin Otic,Hearing Loss
Remicade,Rheumatoid Arthritis
Pulmozyme,Percutaneous Placement Of Gastrostomy Tube
NexIUM,Tobacco Use
Lipitor,Drug Use
Griseofulvin Microsize,Tinea Corporis
Griseofulvin Microsize,Dermatophytosis
HumaLOG KwikPen,Microalbuminuria
NovoLOG FlexPen,Hyperlipidemia
"Pen Needles 5/16""",Hyperlipidemia
Isentress,Acquired Immunodeficiency Syndrome (AIDS)
Colistimethate Sodium,Nasal Polyps
Hydrocortisone,Elective Circumcision
Lantus SoloStar,Diabetic Retinopathy
Fluticasone Propionate,Alcohol Use
Furosemide,Benign Essential Hypertension
Lantus,Hyperlipidemia
Nutropin AQ,Growth Hormone Deficiency (Pituitary Dwarfism)
Tobramycin,Chronic Maxillary Sinusitis
Hydrocortisone,Oncologic Disorder
Colistimethate Sodium,Change In A Job
Atenolol,Hypertension
Taclonex,Psoriasis
Symlin,Type I Diabetes Mellitus - Uncontrolled
NexIUM,Essential Hypertension
Saline Nasal Spray,Sickle Cell Abnormality
NovoLOG Mix 70/30 FlexPen,Diabetes Mellitus Poorly Controlled
Victoza,Type II Diabetes Mellitus
Ergocalciferol,Diabetes Mellitus Poorly Controlled
Propecia,Alopecia
Pen Needles,Diabetic Retinopathy
Remicade,Ankylosing Spondylitis
Levemir FlexPen,Hyperlipidemia
Namenda,Memory Lapses Or Loss
GlyBURIDE-MetFORMIN,Type II Diabetes Mellitus
Lovaza,Diabetes Mellitus Poorly Controlled
CellCept,Systemic Lupus Erythematosus
Sulfatrim,Hydronephrosis
Fish Oil,Hyperlipidemia
Lantus,Diabetes Mellitus
Xopenex HFA,Secondhand Tobacco Smoke In Home
Soriatane,Psoriasis
Mexiletine HCl,Ventricular Tachycardia
Accu-Chek Multiclix Lancets,Taking Medication For Diabetes Long-term Use Of Insulin
Flovent HFA,Living With Parents
Benzonatate,Tobacco Use
Flovent HFA,Secondhand Tobacco Smoke In Home
Ciprofloxacin HCl,Drug Use
Stavudine,HIV Infection
Integra,Anemia Of Chronic Kidney Disease
Zyflo CR,Chronic Maxillary Sinusitis
Simvastatin,Diabetes Mellitus
Sulfamethoxazole-TMP DS,Tobacco Use
PC Pediatric Electrolyte,Gastrostomy Care
Humira Pen,Psoriatic Arthropathy
Epogen,Anemia Of End-stage Renal Disease
Carvedilol,Hyperlipidemia
Desmopressin Acetate Spray,Enuresis
LaMICtal XR,Partial Complex Psychomotor Seizure With Intractable Seizure
Nasal Saline,Sickle Cell Abnormality
OneTouch Ultra Test,Hyperlipidemia
BD Ultra-Fine Lancets,Visit For: Fit/Adjust Insulin Pump
Nova Max Glucose Test,Visit For: Fit/Adjust Insulin Pump
Metoclopramide HCl,Esophageal Reflux
Lancets Super Thin,Diabetic Retinopathy
Lancets Super Thin,Obesity
Ergocalciferol TABS,Type II Diabetes Mellitus
Zetia,Coronary Artery Disease
Nutropin AQ,Hypopituitarism
Norvasc,Essential Hypertension
Phosphate Enema,Unable To Restrain Bowel Movement
PrednisoLONE,Bronchiolitis
Pravastatin Sodium,Diabetes Mellitus Poorly Controlled
Calcium Carbonate Antacid,Renal Secondary Hyperparathyroidism
Nitrofurantoin Macrocrystal,Urinary Tract Infection
FLUoxetine HCl,Depression
Victoza,Taking Medication For Diabetes Long-term Use Of Insulin
Sotalol HCl,Ischemic Cardiomyopathy
Cyclobenzaprine HCl,Tobacco Use
Imitrex,Common Migraine (Without Aura)
NexIUM,Drug Use
Sotalol HCl,Cardioverter-defibrillator Pulse Generator Insertion
Strattera,Attention-deficit Hyperactivity Disorder
Nicotine,Nicotine Dependence
NexIUM,Alcohol
Xopenex HFA,Upper Respiratory Infection
Glycopyrrolate,Urinary Incontinence
BD Pen Needle Short U/F,Type I Diabetes Mellitus - Uncontrolled
Nasal Saline,Oncologic Disorder
Fosrenol,End Stage Renal Disease
Loratadine,Tuberculosis
PC Pediatric Electrolyte,Gastric Surgery Feeding Gastrostomy
Aranesp (Alb Free) SureClick,Anemia Of Chronic Kidney Disease
Nasacort AQ,Allergic Rhinitis
Hydrocodone-Acetaminophen,Alcohol
Topamax,Seizure Disorder
LaMICtal XR,Partial Complex Seizure With Secondary Generalization With Intractable Seizure
Nystatin,Oncologic Disorder
PediaSure/Fiber,Percutaneous Placement Of Gastrostomy Tube
Loratadine,Acute Upper Respiratory Infection
Glucagon Emergency,Reported Previous High Blood Pressure
Calmoseptine,Delayed Developmental Milestones
"Pen Needles 1/2""",Type II Diabetes Mellitus
BuPROPion HCl (Smoking Deter),Nicotine Dependence
Topiramate,Seizure Disorder
Epzicom,Acquired Immunodeficiency Syndrome (AIDS)
No Reported Medications,Asthma
Ciprofloxacin HCl,Alcohol
Ribavirin,"Hepatitis, C Virus"
Simvastatin,Drug Use
Ritalin,Attention-deficit Hyperactivity Disorder
Allegra,Allergic Rhinitis
Drysol,Hyperhidrosis
Sildenafil Citrate,Child With Special Needs
Mirtazapine,Depression
One Touch Ultra Test Strips,Hyperlipidemia
Amoxicillin,Allergic Rhinitis
CitraNatal 90 DHA,Pregnancy Test Positive
Captopril,Ventricular Septal Defect
